targetId,strataId,cohortId,cohortType,name
101,1,101000011,TwS,[PIONEER FUP] Newly diagnosed prostate cancer with Age < 60
102,1,102000011,TwS,[PIONEER FUP] Newly diagnosed prostate cancer initiated immediate conservative trt with Age < 60
103,1,103000011,TwS,[PIONEER FUP] Newly diagnosed prostate cancer initiated delayed conservative trt with Age < 60
104,1,104000011,TwS,[PIONEER FUP] Newly diagnosed prostate cancer initiated immediate curative trt with Age < 60
105,1,105000011,TwS,[PIONEER FUP] Newly diagnosed prostate cancer initiated immediate curative trt NARROW with Age < 60
106,1,106000011,TwS,[PIONEER FUP] Newly diagnosed prostate cancer initiated delayed curative trt with Age < 60
107,1,107000011,TwS,[PIONEER FUP] Newly diagnosed prostate cancer received prostatectomy with Age < 60
108,1,108000011,TwS,[PIONEER FUP] Newly diagnosed prostate cancer received radiotherapy with Age < 60
109,1,109000011,TwS,[PIONEER FUP] Newly diagnosed prostate cancer received systemic chemotherapy with Age < 60
110,1,110000011,TwS,[PIONEER FUP] Newly diagnosed prostate cancer received focal therapy with Age < 60
111,1,111000011,TwS,[PIONEER FUP] Newly diagnosed prostate cancer received ADT based doublet or triplet combination therapies with Age < 60
112,1,112000011,TwS,[PIONEER FUP] Newly diagnosed prostate cancer received prostatectomy plus salvage ADT and radiotherapy with Age < 60
113,1,113000011,TwS,[PIONEER FUP] Newly diagnosed prostate cancer received postatectomy and adjuvant radiotherapy with Age < 60
101,2,101000021,TwS,[PIONEER FUP] Newly diagnosed prostate cancer with Age 60 - 69
102,2,102000021,TwS,[PIONEER FUP] Newly diagnosed prostate cancer initiated immediate conservative trt with Age 60 - 69
103,2,103000021,TwS,[PIONEER FUP] Newly diagnosed prostate cancer initiated delayed conservative trt with Age 60 - 69
104,2,104000021,TwS,[PIONEER FUP] Newly diagnosed prostate cancer initiated immediate curative trt with Age 60 - 69
105,2,105000021,TwS,[PIONEER FUP] Newly diagnosed prostate cancer initiated immediate curative trt NARROW with Age 60 - 69
106,2,106000021,TwS,[PIONEER FUP] Newly diagnosed prostate cancer initiated delayed curative trt with Age 60 - 69
107,2,107000021,TwS,[PIONEER FUP] Newly diagnosed prostate cancer received prostatectomy with Age 60 - 69
108,2,108000021,TwS,[PIONEER FUP] Newly diagnosed prostate cancer received radiotherapy with Age 60 - 69
109,2,109000021,TwS,[PIONEER FUP] Newly diagnosed prostate cancer received systemic chemotherapy with Age 60 - 69
110,2,110000021,TwS,[PIONEER FUP] Newly diagnosed prostate cancer received focal therapy with Age 60 - 69
111,2,111000021,TwS,[PIONEER FUP] Newly diagnosed prostate cancer received ADT based doublet or triplet combination therapies with Age 60 - 69
112,2,112000021,TwS,[PIONEER FUP] Newly diagnosed prostate cancer received prostatectomy plus salvage ADT and radiotherapy with Age 60 - 69
113,2,113000021,TwS,[PIONEER FUP] Newly diagnosed prostate cancer received postatectomy and adjuvant radiotherapy with Age 60 - 69
101,3,101000031,TwS,[PIONEER FUP] Newly diagnosed prostate cancer with Age 70 - 79
102,3,102000031,TwS,[PIONEER FUP] Newly diagnosed prostate cancer initiated immediate conservative trt with Age 70 - 79
103,3,103000031,TwS,[PIONEER FUP] Newly diagnosed prostate cancer initiated delayed conservative trt with Age 70 - 79
104,3,104000031,TwS,[PIONEER FUP] Newly diagnosed prostate cancer initiated immediate curative trt with Age 70 - 79
105,3,105000031,TwS,[PIONEER FUP] Newly diagnosed prostate cancer initiated immediate curative trt NARROW with Age 70 - 79
106,3,106000031,TwS,[PIONEER FUP] Newly diagnosed prostate cancer initiated delayed curative trt with Age 70 - 79
107,3,107000031,TwS,[PIONEER FUP] Newly diagnosed prostate cancer received prostatectomy with Age 70 - 79
108,3,108000031,TwS,[PIONEER FUP] Newly diagnosed prostate cancer received radiotherapy with Age 70 - 79
