cohortId,targetId,targetName,strataId,strataName,cohortType
101,101,[PIONEER FUP] Newly diagnosed prostate cancer,0,All,Target
102,102,[PIONEER FUP] Newly diagnosed prostate cancer initiated immediate conservative trt,0,All,Target
103,103,[PIONEER FUP] Newly diagnosed prostate cancer initiated delayed conservative trt,0,All,Target
104,104,[PIONEER FUP] Newly diagnosed prostate cancer initiated immediate curative trt,0,All,Target
105,105,[PIONEER FUP] Newly diagnosed prostate cancer initiated immediate curative trt NARROW,0,All,Target
106,106,[PIONEER FUP] Newly diagnosed prostate cancer initiated delayed curative trt,0,All,Target
107,107,[PIONEER FUP] Newly diagnosed prostate cancer received prostatectomy,0,All,Target
108,108,[PIONEER FUP] Newly diagnosed prostate cancer received radiotherapy,0,All,Target
109,109,[PIONEER FUP] Newly diagnosed prostate cancer received systemic chemotherapy,0,All,Target
110,110,[PIONEER FUP] Newly diagnosed prostate cancer received focal therapy,0,All,Target
111,111,[PIONEER FUP] Newly diagnosed prostate cancer received ADT based doublet or triplet combination therapies,0,All,Target
112,112,[PIONEER FUP] Newly diagnosed prostate cancer received prostatectomy plus salvage ADT and radiotherapy,0,All,Target
113,113,[PIONEER FUP] Newly diagnosed prostate cancer received postatectomy and adjuvant radiotherapy,0,All,Target
101003012,101,[PIONEER FUP] Newly diagnosed prostate cancer,301,without [PIONEER FUP] Obesity,TwoS
102003012,102,[PIONEER FUP] Newly diagnosed prostate cancer initiated immediate conservative trt,301,without [PIONEER FUP] Obesity,TwoS
103003012,103,[PIONEER FUP] Newly diagnosed prostate cancer initiated delayed conservative trt,301,without [PIONEER FUP] Obesity,TwoS
104003012,104,[PIONEER FUP] Newly diagnosed prostate cancer initiated immediate curative trt,301,without [PIONEER FUP] Obesity,TwoS
105003012,105,[PIONEER FUP] Newly diagnosed prostate cancer initiated immediate curative trt NARROW,301,without [PIONEER FUP] Obesity,TwoS
106003012,106,[PIONEER FUP] Newly diagnosed prostate cancer initiated delayed curative trt,301,without [PIONEER FUP] Obesity,TwoS
107003012,107,[PIONEER FUP] Newly diagnosed prostate cancer received prostatectomy,301,without [PIONEER FUP] Obesity,TwoS
108003012,108,[PIONEER FUP] Newly diagnosed prostate cancer received radiotherapy,301,without [PIONEER FUP] Obesity,TwoS
109003012,109,[PIONEER FUP] Newly diagnosed prostate cancer received systemic chemotherapy,301,without [PIONEER FUP] Obesity,TwoS
110003012,110,[PIONEER FUP] Newly diagnosed prostate cancer received focal therapy,301,without [PIONEER FUP] Obesity,TwoS
111003012,111,[PIONEER FUP] Newly diagnosed prostate cancer received ADT based doublet or triplet combination therapies,301,without [PIONEER FUP] Obesity,TwoS
112003012,112,[PIONEER FUP] Newly diagnosed prostate cancer received prostatectomy plus salvage ADT and radiotherapy,301,without [PIONEER FUP] Obesity,TwoS
113003012,113,[PIONEER FUP] Newly diagnosed prostate cancer received postatectomy and adjuvant radiotherapy,301,without [PIONEER FUP] Obesity,TwoS
101003022,101,[PIONEER FUP] Newly diagnosed prostate cancer,302,without [PIONEER FUP] Hypertension,TwoS
102003022,102,[PIONEER FUP] Newly diagnosed prostate cancer initiated immediate conservative trt,302,without [PIONEER FUP] Hypertension,TwoS
103003022,103,[PIONEER FUP] Newly diagnosed prostate cancer initiated delayed conservative trt,302,without [PIONEER FUP] Hypertension,TwoS
104003022,104,[PIONEER FUP] Newly diagnosed prostate cancer initiated immediate curative trt,302,without [PIONEER FUP] Hypertension,TwoS
105003022,105,[PIONEER FUP] Newly diagnosed prostate cancer initiated immediate curative trt NARROW,302,without [PIONEER FUP] Hypertension,TwoS
106003022,106,[PIONEER FUP] Newly diagnosed prostate cancer initiated delayed curative trt,302,without [PIONEER FUP] Hypertension,TwoS
107003022,107,[PIONEER FUP] Newly diagnosed prostate cancer received prostatectomy,302,without [PIONEER FUP] Hypertension,TwoS
108003022,108,[PIONEER FUP] Newly diagnosed prostate cancer received radiotherapy,302,without [PIONEER FUP] Hypertension,TwoS
109003022,109,[PIONEER FUP] Newly diagnosed prostate cancer received systemic chemotherapy,302,without [PIONEER FUP] Hypertension,TwoS
