"sourceId","targetId","value"
101,-100,59228
101,102,15389
101,103,8305
101,104,38130
101,106,4889
101000011,-100,6981
101000011,102,1354
101000011,103,622
101000011,104,11503
101000011,106,1295
101000021,-100,3636
101000021,102,977
101000021,103,634
101000021,104,2204
101000021,106,395
101000031,-100,27392
101000031,102,7221
101000031,103,3869
101000031,104,19747
101000031,106,2488
101000041,-100,69419
101000041,102,19544
101000041,103,10480
101000041,104,30918
101000041,106,4076
101000051,-100,28063
101000051,102,8360
101000051,103,4378
101000051,104,9894
101000051,106,1458
101003011,-100,14455
101003011,102,3643
101003011,103,1756
101003011,104,7044
101003011,106,950
101003012,-100,44773
101003012,102,11746
101003012,103,6549
101003012,104,31086
101003012,106,3939
101003021,-100,41716
101003021,102,11160
101003021,103,6035
101003021,104,23619
101003021,106,3093
101003022,-100,17512
101003022,102,4229
101003022,103,2270
101003022,104,14511
101003022,106,1796
101003031,-100,298
101003031,102,201
101003031,103,92
101003031,104,56
101003031,106,3
101003032,-100,58930
101003032,102,15188
101003032,103,8213
101003032,104,38074
101003032,106,4886
101003041,-100,17815
101003041,102,4987
101003041,103,2668
101003041,104,8420
101003041,106,1114
101003042,-100,41413
101003042,102,10402
101003042,103,5637
101003042,104,29710
101003042,106,3775
101003051,-100,148
101003051,102,96
101003051,103,45
101003051,104,55
101003051,106,6
101003052,-100,59080
101003052,102,15293
101003052,103,8260
101003052,104,38075
101003052,106,4883
101003061,-100,11251
101003061,102,3249
101003061,103,1777
101003061,104,5443
101003061,106,689
101003062,-100,47977
101003062,102,12140
101003062,103,6528
101003062,104,32687
101003062,106,4200
101003071,-100,4250
101003071,102,751
101003071,103,343
101003071,104,3236
101003071,106,401
101003072,-100,54978
101003072,102,14638
101003072,103,7962
101003072,104,34894
101003072,106,4488
101003081,-100,1041
101003081,102,1156
101003081,103,678
101003081,104,415
101003081,106,51
101003082,-100,58187
101003082,102,14233
101003082,103,7627
101003082,104,37715
101003082,106,4838
101003091,-100,2200
101003091,102,667
101003091,103,355
101003091,104,1267
101003091,106,153
101003092,-100,57028
101003092,102,14722
101003092,103,7950
101003092,104,36863
101003092,106,4736
101003111,-100,1646
101003111,102,2022
101003111,103,1213
101003111,104,593
101003111,106,65
101003112,-100,57582
101003112,102,13367
101003112,103,7092
101003112,104,37537
101003112,106,4824
101003121,-100,19239
101003121,102,2982
101003121,103,1422
101003121,104,11394
101003121,106,1601
101003122,-100,39989
101003122,102,12407
101003122,103,6883
101003122,104,26736
101003122,106,3288
101003131,-100,4029
101003131,102,1498
101003131,103,765
101003131,104,2016
101003131,106,255
101003132,-100,55199
101003132,102,13891
101003132,103,7540
101003132,104,36114
101003132,106,4634
